,ID,region,field,M05_age_opt,M05_AV_opt,M13_age_opt,M13_AV_opt,BC_age_opt,BC_AV_opt,x2_spectra_M05_opt,x2_photo_M05_opt,x2_spectra_M13_opt,x2_photo_M13_opt,x2_spectra_BC_opt,x2_photo_BC_opt,M05_age_MCMC50,M05_age_std,M05_AV_MCMC50,M05_AV_std,M13_age_MCMC50,M13_age_std,M13_AV_MCMC50,M13_AV_std,BC_age_MCMC50,BC_age_std,BC_AV_MCMC50,BC_AV_std,x2_spectra_M05_MCMC50,x2_photo_M05_MCMC50,x2_spectra_M13_MCMC50,x2_photo_M13_MCMC50,x2_spectra_BC_MCMC50,x2_photo_BC_MCMC50,x2_M05_opt,x2_M13_opt,x2_BC_opt,x2_M05_MCMC50,x2_M13_MCMC50,x2_BC_MCMC50,min_chi2,min_2,alt_model,model,model_new,grism_index,grism_index_AV_corr,age_opt,age_opt_std,AV_opt,AV_opt_std,M_K,BC_ML,BC_mass,M05_ML,M05_mass,M13_mass,best_mass,radius,use_phot,z_best,z_type,z_spec,u,g,r,i,z,U,V,J,H,B,K,Mr,color,FAST_mass,SFR,sSFR,ltau,SNR_F160W,SNR_F140W,SNR_F125W,SNR_F606W,F160W_mag,F140W_mag,F125W_mag,F606W_mag,flux_ratio_AV_corr,flux_ratio_err_AV_corr,SNR1,SNR2
0,26380,1,aegis,2.830424557,0.426375052,1.129631475,0.7412847835000000,1.19096666,0.6287426666,14.87740364,2.21960226,14.01183406,1.057243771,14.44045434,0.889107822,3.716888937,1.189204191,0.3665548952,0.06967968357000000,0.9477732313,0.6345493255,0.8123427068000000,0.4969713658,0.9972282709,0.6148461357,1.01789013,0.4212491967,15.30776308,2.3588092080000000,14.67306162,0.9854060572,33.13435563,0.8015162528,3.851349744,3.1792196610000000,3.1895345180000000,3.995281965,3.2764608410000000,6.781434062000000,3.1792196610000000,3.1895345180000000,3,2,0,1.099384731,1.114271494,1.129631475,0.6345493255,0.7412847835000000,0.4969713658,-21.60442334295040,0.31829,15017316413.227500,0.18743,8843179538.56934,15535268116.023300,15535268116.023300,15.57,1.0,0.264,2.0,-1.0,22.873303252848900,21.27029016490250,20.553543911377000,20.210373045518200,19.873692945738500,22.796231655951200,20.829869635191,19.484197115336200,19.191565476599500,21.564531877356400,19.51686144054960,-19.82645608862300,2.319759341471850,9.74,-99.0,-99.0,7.0,309.5031814726790,1170.736706013560,1428.9787433864800,565.8632074836310,19.553553226445400,19.65742536951560,19.790916524637400,21.31350591379190,1.1271768725750200,0.02251627199075460,45.87916372629590,54.52024113324710
1,14044,2,aegis,2.762686274,0.4527159014,1.099093991,0.7983323242,1.644505034,0.6883621615000000,7.961912058000000,5.837547036,8.570029866,3.1562795830000000,13.49523887,3.689304421,3.307623265,1.642904247,0.4272831656,0.2619004401,1.177450388,0.5182298601000000,0.7802419903,0.2218486288,0.9901384742,0.8697936973,1.029464228,0.5154787031,8.089815137,6.239651618,7.981930132,3.4810825810000000,62.52823887,3.2488309190000000,4.0774624610000000,3.032808353,4.220306554,4.276671203,3.059465487,13.5502655,3.032808353,3.059465487,2,2,2,1.11672446,1.132550617,1.099093991,0.5182298601000000,0.7983323242,0.2218486288,-23.851860730682200,0.31829,119005569362.64800,0.18743,70078274107.38980,123110106791.1380,123110106791.1380,13.91,1.0,0.436,1.0,0.4616,21.687977368905600,20.20663409595060,19.492934922842000,19.2018027261957,18.86952537401700,21.61470007765910,19.762521471950000,18.419299759281900,18.206903775838,20.489377036991900,18.456471593517800,-22.01706507715800,2.1950424460635700,10.77,0.23,-10.54,8.6,717.671668535635,2231.579199403470,2415.4949872498000,621.6536380828870,18.576934907443200,18.716260485552700,18.895395075274900,20.73268946219230,1.1421768265865900,0.005581243958405770,79.08178696433430,97.74953921974540
2,17857,3,aegis,1.522889081,0.1981563755,0.9961088002,0.5351199013,1.3560507380000000,0.61827942,8.113330244,1.638467558,5.332489485,1.087127984,5.561804318000000,2.056173687,1.75062036,0.8073972187,0.1774036729,0.1102755794,0.8824899835,0.5246464554,0.6104266837,0.3457250699,1.524336065,0.7360600889,0.397792433,0.4491804396,7.602955217000000,1.894585665,5.4700847810000000,0.8552699733,10.33731945,1.418246429,2.28592759,1.506869363,1.971624487,2.297891605,1.433041358,2.622270965,1.433041358,1.506869363,2,2,2,1.043043079,1.0495053090000000,0.8824899835,0.5246464554,0.6104266837,0.3457250699,-21.120122388273600,0.41779,12618478614.928300,0.18743,5660933595.337400,9944853070.889710,9944853070.889710,13.03,1.0,0.2863,2.0,-1.0,22.929317219869800,21.526433542720200,20.90001699381330,20.582102910982600,20.320761246577500,22.8500284164652,21.14943291501100,19.977797262596700,19.74213336758960,21.781318684045000,20.060304295426400,-19.66998300618670,2.0293002260565200,9.72,-0.82,-10.54,8.6,210.03483439258,583.0623676617260,951.6334328355360,459.2063468422180,20.02946618946680,20.145524857650100,20.24575278079120,21.589857623237500,1.060939274769340,0.011802900437396900,34.80873255179160,38.59806958322940
3,19820,3,aegis,2.853989349,0.6830266296,1.172319751,1.003098825,1.35605088,1.067616428,13.00665235,2.839933572,12.99861834,1.04510045,18.31207705,1.1121737740000000,4.009705611,1.0244704,0.608488582,0.06420113639,1.180637596,0.7011789739000000,1.009543886,0.5070200973,1.22410504,0.7237143159,0.9543900811,0.4422890879,12.42082209,3.550742361,13.06210872,1.13405068,28.67335275,0.9005472163000000,3.757104574,2.977212777,4.038038769,3.951594313,3.028114393,5.9581648220000000,2.977212777,3.028114393,2,2,2,1.09873283,1.122269731,1.172319751,0.7011789739000000,1.003098825,0.5070200973,-24.12057757833130,0.31829,152424235536.05100,0.18743,89757373673.44900,157681392685.22800,157681392685.22800,14.18,1.0,0.4197,2.0,-1.0,21.959921907700200,20.29147674783230,19.47654091501070,19.08309302978310,18.743631786301700,21.89071864411740,19.80928203625770,18.260781519290900,17.97020495841170,20.610396675269600,18.31252124666870,-21.95345908498930,2.483380992689540,10.69,-0.72,-11.41,8.2,961.3334758498930,1998.2216094239600,2748.0837117126900,754.9704228695170,18.448836369340100,18.61364173211610,18.82615147047740,20.81144210962450,1.1329963527893400,0.022863834979538900,94.03286358851190,115.4853179000060
4,26829,3,aegis,1.245305279,0.1324448958,0.9831867746,0.5485032477,1.208593223,0.3881114797,3.710208528,0.437799513,3.195469934,0.6109466149,2.861347544,0.4370195242,1.507559233,0.5777614051,0.1810351108,0.09246217286,1.142325142,0.4714232896,0.5312240323000000,0.2544075395,1.4283657320000000,0.5265577532,0.4301745477,0.3051740575,3.68103327,0.8747277287,2.778814307,0.9921479254,5.385528155,0.7132093491,0.9102811878,0.8854174197,0.7451155689,1.094090597,0.9698218752,1.355017815,0.7451155689,0.8854174197,2,3,0,1.132149568,1.136856775,1.208593223,0.5265577532,0.3881114797,0.3051740575,-20.90502864573980,0.36965,9158032255.642570,0.18743,4643554675.165930,4643554675.165930,4643554675.165930,6.48,1.0,0.3996,3.0,-1.0,23.80926897627410,22.33771373201730,21.664554478843600,21.35525364537970,21.095642983659100,23.734089240984800,21.942065175730900,20.743357241932800,20.506820758152800,22.5964081078408,20.80308283396020,-19.65544552115640,2.1447144974304200,9.59,-99.0,-99.0,7.0,200.8401728144210,310.9844416843320,453.67530542844500,171.5690150612790,20.87814640746590,20.995919183787400,21.133803437508200,22.716961802821100,1.1460098631464600,0.027887179482641100,26.24087651831880,22.634044464406000
6,37275,11,aegis,2.839301349,0.4268865318,1.263112293,0.7192777711,2.000002064,0.4726488351,2.853624291,1.22293337,2.622810442,0.7603887662000000,1.5673679230000000,0.7454477194,3.612049177,1.271605428,0.3717277547,0.08020250458,1.613754413,0.723038362,0.6384011201000000,0.424785308,2.308299585,0.9498094029,0.4163314267,0.3344560497,2.9816422680000000,1.360317513,2.135904023,1.211903343,1.7348367320000000,0.8370434931,1.084428504,0.8390271916000000,0.6276076916,1.168863182,0.9402821591,0.6998465373,0.6276076916,0.6998465373,3,3,3,1.084933568,1.09928274,2.000002064,0.9498094029,0.4726488351,0.3344560497,-21.410990730097700,0.57182,22576448973.576400,0.39832,15726366960.153500,15726366960.153500,15726366960.153500,14.0,1.0,0.304,2.0,-1.0,23.244466662750800,21.57746158116840,20.821394436372800,20.45757987011840,20.12655792195200,23.170593073968300,21.11190101901600,19.728562073295900,19.444548940207300,21.889468059719500,19.761658105002300,-19.87860556362730,2.4230722263780900,9.95,-4.87,-14.83,8.2,267.950402406871,707.5495578736430,1075.0276419471900,364.52874346644600,19.844593680624300,19.925989709789600,20.08976219108510,21.742071977461500,1.1000967886415700,0.02033926737553440,26.460759636886700,39.302473803853000
7,21300,14,aegis,2.83901515,0.3705227933,1.657096376,0.5714762314,1.2781012040000000,0.7112976992,5.526682025,1.858435683,4.136350093,1.78008357,4.760251885,1.003097525,4.067083257,1.025952856,0.2966114988,0.060903113,1.735313197,0.6864902031,0.5513878532,0.2872557583,1.392352725,0.6868104529000000,0.6393200281,0.4276148929,5.714508724,2.123314579,4.061578282,1.834748292,51.93847769,1.5756656220000000,1.879055273,1.575110408,1.359315345,2.030391566,1.58429704,10.76843081,1.359315345,1.575110408,2,3,0,1.094843885,1.107577735,1.2781012040000000,0.6868104529000000,0.7112976992,0.4276148929,-21.991683248596900,0.36965,24915178903.585400,0.31652,21334106388.6456,21334106388.6456,21334106388.6456,12.65,1.0,0.2161,3.0,-1.0,21.791045949942100,20.272369601464700,19.59842356634280,19.303327451047400,19.007980922888700,21.710955671340100,19.85547352207290,18.589255294712300,18.36821682292930,20.557718825335700,18.649614450603100,-20.33157643365720,2.1926223835992600,10.0,-0.9,-10.9,8.4,987.9808929293020,2549.0739559102000,3171.305536138870,1800.8681977690800,18.555607771716600,18.66632485879890,18.790645311402200,20.170387999752400,1.1188048638065400,0.00973935095201021,86.40808320350370,117.28521700578200
8,10415,15,aegis,2.385775341,0.2406662186,1.0833058290000000,0.5833503988000000,1.356062995,0.6513469068,2.036741334,1.557834716,2.166322613,0.7435097359,3.169009603,1.013513838,2.782739087,1.081427238,0.2261897121,0.05418771742,1.138161699,0.5528727839,0.5729223212,0.3255371263,1.435947556,0.7073998675,0.5134117857,0.4074165291,3.307493365,2.167061254,2.025005557,0.822302655,3.408881042,1.081628588,1.071040873,0.7430691641,1.054853309,1.5819807470000000,0.7497976143,1.13096834,0.7430691641,0.7497976143,2,2,2,1.103734996,1.11207426,1.0833058290000000,0.5528727839,0.5833503988000000,0.3255371263,-21.399638743321200,0.31829,12435936378.367900,0.18743,7323093893.611150,12864855517.16700,12864855517.16700,8.74,1.0,0.2479,1.0,0.2522,22.5389619064852,21.056606613633400,20.36346224778720,20.06279891709530,19.787844652378900,22.46023905526110,20.638915468622200,19.35126616190970,19.138164819098700,21.33460737646100,19.423711655478800,-19.876537752212800,2.1754996586979800,9.75,-0.6,-10.35,8.4,722.1150422660460,1549.6423288565600,1826.4276906647900,833.4249767157530,19.366110437525300,19.46598250666210,19.599393071551800,21.02067857554570,1.1220031281545200,0.01797514179348250,53.168675989753900,75.06015458819530
9,19787,16,aegis,2.426723243,0.7669004744,0.9982944025,1.157379978,3.375008254,0.5135328867,8.997246321,6.188114991,8.176647006,3.2653461010000000,7.871795251,5.464325101,2.985377053,1.093683117,0.7680056228000000,0.07130704434,0.9854011614,0.5011484741,1.192067065,0.3672396611,2.7774373960000000,1.662783762,0.6542721861,0.2726924137,10.00492825,6.609192237,7.483129699,4.304771981,8.560337828,8.07957277,4.430522505,3.003720174,3.898115858,4.808789614,3.31980505,5.165919113,3.003720174,3.31980505,2,2,2,1.137468046,1.165039753,0.9982944025,0.5011484741,1.157379978,0.3672396611,-23.57514653252420,0.41779,121064455681.61200,0.18743,54312240427.97710,95413104907.63260,95413104907.63260,9.36,1.0,0.4361,1.0,0.4625,22.74864933587340,21.077209249721600,20.254863553920400,19.85787121587190,19.51577657353900,22.684958491105500,20.584933203500300,19.003904268057800,18.71642991160090,21.397601419675400,19.102233445475800,-21.2651364460796,2.4937857819529700,10.63,-1.15,-11.78,8.6,867.4330825384070,1231.0142695917900,1756.64597845218,477.72665895391900,19.248012553071300,19.41799555679240,19.630908107948900,21.627710609412500,1.1784652733669800,0.01337955211198500,56.95344797885280,65.1766402633474
10,30005,19,aegis,1.317480107,0.2333256116,0.9417547999,0.6607968377000000,2.150024348,0.2829539979,3.300066264,0.5909807741000000,1.698409543,0.4984049537,1.196035934,0.8289216630000000,1.6152151820000000,0.6071437955,0.2545366485,0.0886241326,1.07875607,0.448365137,0.6275356103,0.2369458493,2.318451016,0.9419188658,0.2600534398,0.2046971444,3.431085624,0.9126968295,1.319685692,0.8394829116,0.9676211873,1.082332888,0.8970691729000000,0.545922239,0.5917029807,1.062022425,0.6202925420000000,0.6572427211,0.545922239,0.5917029807,3,2,0,1.141437491,1.149827472,0.9417547999,0.448365137,0.6607968377000000,0.2369458493,-20.777585744925600,0.40332,8885544710.041890,0.16994,3743948894.2391100,6854267470.3805900,6854267470.3805900,6.08,1.0,0.2776,1.0,0.3134,23.54421363900590,22.017606175288400,21.335777176855300,20.99725487438350,20.689179226145200,23.46600056181390,21.591694115788100,20.345738423771800,20.05086847230220,22.301449894125700,20.38321109277450,-19.164222823144700,2.208436462150650,9.67,-1.42,-11.09,8.6,416.08090734735800,556.5064434569550,788.7082914690940,377.4048595768270,20.401350448873700,20.50782764250160,20.621929301713000,22.090388766705600,1.1648315360050800,0.023242491804956600,29.512746591295600,28.453708149050100
11,11221,28,aegis,2.585993513,0.6180865632,1.212838772,0.9418193798,2.200001331,0.6073230069,12.79338476,2.469743585,8.119140607,1.167297211,7.94412027,1.4148425690000000,3.421396638,1.000539678,0.5854035573000000,0.05480195263000000,1.386323217,0.4580231962,0.8936400096000000,0.1394738907,1.825889991,1.188229953,0.7776076592,0.470945486,14.2734727,3.180574128,7.701068234,1.667762595,14.39038445,1.4157914930000000,3.5551600060000000,2.082732161,2.156096007,4.150808344,2.218580547,3.408209292,2.082732161,2.156096007,3,2,0,1.138950911,1.1611092440000000,1.212838772,0.4580231962,0.9418193798,0.1394738907,-24.309797150970300,0.36965,210721850225.98500,0.18743,106845925572.45000,187701730314.66300,187701730314.66300,26.63,1.0,0.4337,2.0,-1.0,21.75336937343600,20.051039157989300,19.267765625084100,18.89014971197850,18.540045969141200,21.68812128258650,19.583732304757400,18.057738787541500,17.799022268512100,20.374266835492700,18.132022228829700,-22.232234374915900,2.4856037483518800,10.98,-0.8,-11.78,8.6,764.4374856316920,1869.279608434400,3111.0874721189900,701.8827785178810,18.232312152547300,18.384330183259200,18.592548086598300,20.59078943354440,1.172128958123480,0.00554121798633984,41.50370251145050,118.0182079367410
12,16063,28,aegis,0.9514156379,0.327656276,1.13432619,0.7933225441000000,0.9047884931,1.2257957310000000,21.585705800000000,1.3730733870000000,5.937364443,0.5837285928,7.669304125,0.5965382311,1.647332463,0.2844598655,0.467426429,0.03286016808,1.0790272440000000,0.4886412068,0.8090742514,0.2130738877,1.026029357,0.4619973186,0.890516247,0.4024597945,11.68240047,0.9280543707,6.245475756,0.5146996178000000,33.77429762,1.536634761,4.786834305,1.4060209890000000,1.7478748730000000,2.670879301,1.43591392,7.224479772,1.4060209890000000,1.43591392,2,2,2,1.101791555,1.113160153,1.13432619,0.4886412068,0.7933225441000000,0.2130738877,-22.26999431304510,0.31829,27721754901.132700,0.18743,16324385061.168400,28677886460.22280,28677886460.22280,11.54,1.0,0.2445,1.0,0.2626,22.250004667308700,20.546033377541500,19.804556023032600,19.480624680195000,19.171371019910100,22.17402082358530,20.077562824340600,18.68121846840550,18.446680133340700,20.867924584065700,18.73332823105490,-20.40544397696740,2.445448644276030,10.14,-0.58,-10.72,8.2,1029.011130321260,1863.9571293788300,2915.4430776131200,1100.043384322880,18.680766748349000,18.807564628140600,18.956604797854800,20.490623221390000,1.128505984937730,0.010345181851077700,69.55292590009710,102.30073033543500
14,14044,30,aegis,2.884015499,0.4563495612,1.101204253,0.7962966401,1.644534455,0.686500828,12.20223944,6.002479778,13.1063172,3.1477861710000000,12.88039108,3.669669075,4.019393448,1.119851965,0.3824697537,0.06953879385,0.6806001255000000,0.6673372801000000,1.052437539,0.563701251,1.83644301,0.7963782605000000,0.5794822662,0.3865667176,11.64690482,6.8165768610000000,14.88220061,1.674723047,13.63537693,4.0767819260000000,4.972350306,3.909957665,4.092403739,5.217552635,3.615993591,4.415547969,3.615993591,3.909957665,2,2,2,1.120579768,1.136485288,0.6806001255000000,0.6673372801000000,1.052437539,0.563701251,-24.105965945482200,0.31829,150386680222.48800,0.18743,88557527644.91770,155573561483.805,155573561483.805,13.91,1.0,0.436,1.0,0.4616,21.687977368905600,20.20663409595060,19.492934922842000,19.2018027261957,18.86952537401700,21.61470007765910,19.762521471950000,18.419299759281900,18.206903775838,20.489377036991900,18.456471593517800,-22.01706507715800,2.1950424460635700,10.77,0.23,-10.54,8.6,717.671668535635,2231.579199403470,2415.4949872498000,621.6536380828870,18.576934907443200,18.716260485552700,18.895395075274900,20.73268946219230,1.147442418789730,0.010574700239834900,55.32738350532300,93.07431036952060
15,19842,1,cosmos,2.550475492,0.3247562649,1.244743208,0.626255005,1.244914397,0.561689739,2.54219467,0.9037674091,2.017711872,0.4038696365,2.113120832,0.32517795850000000,3.202394149,1.03647921,0.2996946254,0.05337694401,1.30282233,0.648406229,0.6142379314,0.3277406091,1.190441583,0.6066781198,0.6535288038,0.3973274338,5.727960179,1.293601395,1.913528134,0.4746658539,31.45082506,0.7669183509,0.8855499849000000,0.5669273238,0.5513285836,1.673197262,0.5773983467,6.439531497000000,0.5513285836,0.5669273238,2,3,0,1.088208167,1.099241917,1.244914397,0.6066781198,0.561689739,0.3973274338,-21.90607009964370,0.36965,23026013258.27840,0.18743,11675275706.747300,11675275706.747300,11675275706.747300,13.98,1.0,0.2311,3.0,-1.0,21.91220829500870,20.348484280679100,19.663967490524100,19.320036066611200,19.031289623620000,21.837318349484500,19.917939559355200,18.633427449320700,18.43911682772770,20.633182981449300,18.735619639356300,-20.41603250947590,2.248240804484540,9.96,-29.11,-39.07,7.2,836.3665288853470,1432.7639547597400,2117.0532186777800,943.7545818867630,18.63942110885330,18.727386714406800,18.85487882390400,20.257111966978900,1.105427735171820,0.01748146158218730,66.45486962279100,86.88828808410030
16,20236,1,cosmos,2.631339294,0.4533467666,1.636769316,0.6713444447,2.450021647,0.4291565084,3.859677006,1.437820286,1.5689893030000000,1.289989762,2.159794966,0.8921935626,3.454905751,1.172185908,0.4120350809,0.05997665288,2.018896447,0.6669620601,0.586203699,0.14526956360000000,2.640425054,1.21090027,0.3731896317,0.3026100982,4.861871002,1.868239837,1.240961517,1.575665852,2.329586044,1.017067536,1.372964546,0.8640639115000000,0.8062786012000000,1.754217339,0.9242530164,0.8933995087000000,0.8062786012000000,0.8640639115000000,2,3,0,1.095754914,1.111162884,2.450021647,1.21090027,0.4291565084,0.3026100982,-21.621162540628300,0.6682,32016325566.51400,0.39832,19085218197.626200,19085218197.626200,19085218197.626200,13.48,1.0,0.2254,3.0,-1.0,22.073949636771500,20.59303922078930,19.85126185442140,19.494821851103500,19.19501545826220,22.004230345556500,20.14555825355550,18.77403615887750,18.55655202406650,20.876896579441400,18.837993967771700,-20.178738145578600,2.2226877823501000,10.09,-0.63,-10.72,8.8,578.4581281127870,855.0520554150470,1267.4618064728100,624.6179437776000,18.77028071989600,18.86999769760910,18.988732027225300,20.50800167241150,1.1089625387930800,0.014521303613185500,54.658931581015600,72.68228598958980
17,20423,1,cosmos,2.274164257,0.3881464309,1.084837533,0.7506019404000000,2.350005837,0.3826982854,4.055383804,0.8243889759,2.443674709,0.4614615731,2.769251284,0.5791165091,2.276245166,1.379988129,0.3978673001,0.3036460385,1.038311763,0.608664602,0.7636347205000000,0.4055602738,2.709887138,1.051081359,0.2996552843,0.2057341252,4.16454296,0.818374195,2.493278929,0.4478444479,4.132195834,0.8561573524000000,1.144950553,0.674613375,0.7888533485,1.163538188,0.6783401777,1.17364191,0.674613375,0.6783401777,2,2,2,1.11298222,1.126373804,1.084837533,0.608664602,0.7506019404000000,0.4055602738,-22.719229367373800,0.31829,41929022832.56460,0.18743,24690554995.46820,43375167281.75280,43375167281.75280,10.41,1.0,0.354,1.0,0.354,22.45157567976030,20.827940704302900,20.070129716475700,19.71745754075510,19.42086099005930,22.38871919462840,20.349328715264200,18.9759152131338,18.75140436483340,21.140261167147900,19.081372573026200,-20.979870283524300,2.3814459632845800,10.39,-14.41,-24.8,7.8,610.2316455388310,1202.375969940400,1710.0741251020300,524.4343249436650,19.08011868457960,19.20785981561760,19.354510447553200,21.116966910170500,1.1378241948322400,0.01429301896287920,48.411522468691100,63.088573787309500
